lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"September 12, 2025","3,224,885","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 6, 2025","3,211,196","63,645","63,645",University College London,Parent lead already present,PR,Puerto Rico,lost,lost,London,United Kingdom,repeat,true,true,
"August 15, 2025","3,142,076","63,645","63,645",University College London,Parent lead already present,IN,India,lost,lost,London,United Kingdom,repeat,true,true,
"July 26, 2025","3,092,887","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 27, 2025","3,182,124","63,645","63,645",University College London,Short Stay,SA,Saudi Arabia,lost,lost,London,United Kingdom,not_booked,false,true,
"August 14, 2025","3,139,315","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,165,455","63,645","63,645",University College London,Booked directly on the property website,SE,Sweden,lost,lost,London,United Kingdom,not_booked,false,false,
"August 26, 2025","3,180,744","63,645","63,645",University College London,Booked a private accommodation,AZ,Azerbaijan,lost,lost,London,United Kingdom,not_booked,false,false,
"August 15, 2025","3,145,509","63,645","63,645",University College London,Parent lead already present,CA,Canada,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,204,846","63,645","63,645",University College London,,FR,France,won,won,London,United Kingdom,booked,false,false,
"July 14, 2025","3,068,557","63,645","63,645",University College London,,ES,Spain,won,won,London,United Kingdom,booked,false,false,
"September 10, 2025","3,221,254","63,645","63,645",University College London,Parent lead already present,IN,India,lost,lost,London,United Kingdom,repeat,true,true,
"September 4, 2025","3,204,942","63,645","63,645",University College London,Parent lead already present,FR,France,lost,lost,London,United Kingdom,repeat,true,true,
"August 26, 2025","3,180,947","63,645","63,645",University College London,,US,United States,won,won,London,United Kingdom,booked,false,false,
"August 20, 2025","3,162,674","63,645","63,645",University College London,Looking for private house/rental,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 5, 2025","3,117,332","63,645","63,645",University College London,Parent lead already present,CA,Canada,lost,lost,London,United Kingdom,repeat,true,true,
"August 11, 2025","3,130,647","63,645","63,645",University College London,Short Stay,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 2, 2025","3,199,288","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"September 9, 2025","3,218,612","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 19, 2025","3,158,357","63,645","63,645",University College London,,CA,Canada,won,won,London,United Kingdom,booked,false,false,
"August 28, 2025","3,185,146","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 29, 2025","3,100,535","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 2, 2025","3,198,069","63,645","63,645",University College London,Repeat lead,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,false,true,
"September 15, 2025","3,232,097","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
